===================================================
FRONT SILHOUETTE PATHS (266 paths)
===================================================
ID: use3484_ref_path1376                | CenterX: -421.64 (range -456.8..-386.5) | CenterY: -230.43 (range -366.0..-94.8) | Source: use_group
ID: use3484_ref_path1212                | CenterX: -422.57 (range -466.6..-378.6) | CenterY: -216.19 (range -313.2..-119.2) | Source: use_group
ID: use3484_ref_path1191                | CenterX: -421.82 (range -453.9..-389.8) | CenterY: -193.11 (range -279.9..-106.3) | Source: use_group
ID: use3484_ref_path1238                | CenterX: -422.57 (range -457.1..-388.1) | CenterY: -190.06 (range -287.0..-93.2) | Source: use_group
ID: use3484_ref_path1152-2              | CenterX: -429.93 (range -468.4..-391.4) | CenterY: -189.09 (range -274.7..-103.5) | Source: use_group
ID: use3484_ref_path3496                | CenterX: -418.18 (range -452.5..-383.8) | CenterY: -185.80 (range -284.0..-87.6) | Source: use_group
ID: use3484_ref_path1304-3              | CenterX: -417.78 (range -451.7..-383.8) | CenterY: -185.80 (range -284.0..-87.6) | Source: use_group
ID: use3484_ref_path1339                | CenterX: -424.48 (range -455.4..-393.5) | CenterY: -180.22 (range -277.0..-83.4) | Source: use_group
ID: use3484_ref_path1343                | CenterX: -425.07 (range -456.3..-393.8) | CenterY: -177.48 (range -276.6..-78.4) | Source: use_group
ID: use3484_ref_path1347                | CenterX: -426.02 (range -459.5..-392.6) | CenterY: -175.11 (range -276.6..-73.6) | Source: use_group
ID: use3484_ref_path1432                | CenterX: -437.95 (range -489.1..-386.8) | CenterY: -170.78 (range -279.8..-61.8) | Source: use_group
ID: use3484_ref_path1452                | CenterX: -425.14 (range -470.1..-380.2) | CenterY: -168.92 (range -285.3..-52.5) | Source: use_group
ID: use3484_ref_path1867                | CenterX: -415.84 (range -453.3..-378.4) | CenterY: -166.29 (range -322.1..-10.5) | Source: use_group
ID: use3484_ref_path2115                | CenterX: -430.00 (range -470.6..-389.4) | CenterY: -163.24 (range -294.2..-32.3) | Source: use_group
ID: use3484_ref_path1513                | CenterX: -434.88 (range -482.8..-386.9) | CenterY: -163.05 (range -285.9..-40.2) | Source: use_group
ID: use3484_ref_path1955                | CenterX: -413.66 (range -455.7..-371.6) | CenterY: -162.53 (range -296.8..-28.3) | Source: use_group
ID: use3484_ref_path1542                | CenterX: -443.43 (range -499.0..-387.9) | CenterY: -161.37 (range -295.2..-27.5) | Source: use_group
ID: use3484_ref_path1486                | CenterX: -438.91 (range -487.9..-389.9) | CenterY: -158.62 (range -282.1..-35.2) | Source: use_group
ID: use3484_ref_path2163                | CenterX: -424.71 (range -470.6..-378.8) | CenterY: -157.72 (range -283.2..-32.3) | Source: use_group
ID: use3484_ref_path2234                | CenterX: -428.06 (range -468.1..-388.0) | CenterY: -157.47 (range -282.0..-32.9) | Source: use_group
ID: use3484_ref_path1268                | CenterX: -417.94 (range -451.7..-384.2) | CenterY: -152.46 (range -298.9..-6.0) | Source: use_group
ID: use3484_ref_path1919                | CenterX: -417.94 (range -451.7..-384.2) | CenterY: -152.46 (range -298.9..-6.0) | Source: use_group
ID: use3484_ref_path1697                | CenterX: -439.40 (range -498.4..-380.4) | CenterY: -150.39 (range -304.5..3.7) | Source: use_group
ID: use3484_ref_path1725                | CenterX: -441.31 (range -496.5..-386.1) | CenterY: -146.52 (range -296.3..3.3) | Source: use_group
ID: use3484_ref_path1598                | CenterX: -437.64 (range -490.5..-384.8) | CenterY: -144.44 (range -292.5..3.6) | Source: use_group
ID: use3484_ref_path1648                | CenterX: -441.06 (range -494.4..-387.7) | CenterY: -142.83 (range -286.0..0.3) | Source: use_group
ID: use3484_ref_path1652                | CenterX: -444.25 (range -495.0..-393.5) | CenterY: -138.05 (range -273.2..-2.9) | Source: use_group
ID: use3484_ref_path2024                | CenterX: -431.88 (range -476.5..-387.2) | CenterY: -137.32 (range -279.7..5.1) | Source: use_group
ID: use3484_ref_path1556                | CenterX: -440.66 (range -490.6..-390.7) | CenterY: -136.68 (range -277.3..3.9) | Source: use_group
ID: use3484_ref_path2254                | CenterX: -442.57 (range -498.6..-386.5) | CenterY: -135.90 (range -288.3..16.5) | Source: use_group
ID: use3484_ref_path1627                | CenterX: -443.40 (range -497.4..-389.4) | CenterY: -135.13 (range -273.0..2.8) | Source: use_group
ID: use3484_ref_path1797                | CenterX: -448.05 (range -509.1..-387.0) | CenterY: -131.78 (range -288.5..24.9) | Source: use_group
ID: use3484_ref_path2990                | CenterX: -420.19 (range -453.8..-386.6) | CenterY: -127.92 (range -313.3..57.4) | Source: use_group
ID: use3484_ref_path2900                | CenterX: -424.06 (range -460.5..-387.6) | CenterY: -126.52 (range -302.4..49.4) | Source: use_group
ID: use3484_ref_path2962                | CenterX: -429.05 (range -469.0..-389.1) | CenterY: -125.71 (range -303.2..51.7) | Source: use_group
ID: use3484_ref_path2775                | CenterX: -430.93 (range -467.8..-394.1) | CenterY: -125.61 (range -271.7..20.5) | Source: use_group
ID: use3484_ref_path2931                | CenterX: -424.56 (range -457.7..-391.5) | CenterY: -124.91 (range -296.8..47.0) | Source: use_group
ID: use3484_ref_path2004                | CenterX: -421.34 (range -458.6..-384.1) | CenterY: -124.63 (range -278.5..29.2) | Source: use_group
ID: use3484_ref_path2220                | CenterX: -416.56 (range -451.7..-381.4) | CenterY: -123.63 (range -288.6..41.3) | Source: use_group
ID: use3484_ref_path3733                | CenterX: -416.56 (range -451.7..-381.4) | CenterY: -123.63 (range -288.6..41.3) | Source: use_group
ID: use3484_ref_path2744                | CenterX: -417.27 (range -452.5..-382.0) | CenterY: -123.60 (range -290.9..43.7) | Source: use_group
ID: use3484_ref_path2803                | CenterX: -426.71 (range -464.2..-389.2) | CenterY: -122.66 (range -293.0..47.7) | Source: use_group
ID: use3484_ref_path2290                | CenterX: -453.45 (range -516.7..-390.2) | CenterY: -118.81 (range -279.7..42.1) | Source: use_group
ID: use3484_ref_path2324                | CenterX: -453.61 (range -518.9..-388.3) | CenterY: -118.23 (range -281.4..45.0) | Source: use_group
ID: use3484_ref_path2338                | CenterX: -452.60 (range -515.8..-389.5) | CenterY: -116.61 (range -279.4..46.2) | Source: use_group
ID: use3484_ref_path2352                | CenterX: -452.97 (range -515.0..-391.0) | CenterY: -116.09 (range -280.1..47.9) | Source: use_group
ID: use3484_ref_path2364                | CenterX: -450.43 (range -509.3..-391.6) | CenterY: -116.01 (range -279.7..47.7) | Source: use_group
ID: use3484_ref_path2358                | CenterX: -452.46 (range -513.4..-391.5) | CenterY: -115.65 (range -280.2..48.9) | Source: use_group
ID: use3484_ref_path3511                | CenterX: -419.94 (range -451.7..-388.2) | CenterY: -114.89 (range -280.9..51.1) | Source: use_group
ID: use3484_ref_path2378                | CenterX: -454.43 (range -519.5..-389.4) | CenterY: -113.06 (range -274.4..48.3) | Source: use_group
ID: use3484_ref_path3162                | CenterX: -426.34 (range -464.9..-387.8) | CenterY: -103.34 (range -292.2..85.5) | Source: use_group
ID: use3484_ref_path3075                | CenterX: -428.35 (range -469.6..-387.0) | CenterY: -100.57 (range -302.0..100.8) | Source: use_group
ID: use3484_ref_path3216                | CenterX: -424.87 (range -458.3..-391.4) | CenterY: -97.85 (range -323.2..127.5) | Source: use_group
ID: use3484_ref_path3176                | CenterX: -422.80 (range -459.9..-385.7) | CenterY: -97.58 (range -284.9..89.8) | Source: use_group
ID: use3484_ref_path3022                | CenterX: -424.74 (range -460.7..-388.8) | CenterY: -96.23 (range -292.8..100.3) | Source: use_group
ID: use3484_ref_path3104                | CenterX: -430.12 (range -471.5..-388.7) | CenterY: -93.51 (range -284.6..97.6) | Source: use_group
